t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
0.0,1.000000,0,525.1718,45.00,480.1718
10.0,1.000000,0,525.1723,45.00,480.1723
20.0,1.000000,0,525.1728,45.00,480.1728
30.0,1.000000,0,525.1733,45.00,480.1733
40.0,1.000000,0,525.1737,45.00,480.1737
50.0,1.000000,0,525.1742,45.00,480.1742
60.0,1.000000,0,525.1747,45.00,480.1747
70.0,1.000000,0,525.1752,45.00,480.1752
80.0,1.000000,0,525.1757,45.00,480.1757
90.0,1.000000,0,525.1762,45.00,480.1762
100.0,1.000000,0,525.1766,45.00,480.1766
110.0,1.000000,0,525.1771,45.00,480.1771
120.0,1.000000,0,525.1776,45.00,480.1776
130.0,1.000000,0,525.1781,45.00,480.1781
140.0,1.000000,0,525.1786,45.00,480.1786
150.0,1.000000,0,525.1791,45.00,480.1791
160.0,1.000000,0,525.1795,45.00,480.1795
170.0,1.000000,0,525.1800,45.00,480.1800
180.0,1.000000,0,525.1805,45.00,480.1805
190.0,1.000000,0,525.1810,45.00,480.1810
200.0,1.000000,0,525.1815,45.00,480.1815
210.0,1.000000,0,525.1820,45.00,480.1820
220.0,1.000000,0,525.1824,45.00,480.1824
230.0,1.000000,0,525.1829,45.00,480.1829
240.0,1.000000,0,525.1834,45.00,480.1834
250.0,1.000000,0,525.1839,45.00,480.1839
260.0,1.000000,0,525.1844,45.00,480.1844
270.0,1.000000,0,525.1849,45.00,480.1849
280.0,1.000000,0,525.1853,45.00,480.1853
290.0,1.000000,0,525.1858,45.00,480.1858
300.0,1.000000,0,525.1863,45.00,480.1863
310.0,1.000000,0,525.1868,45.00,480.1868
320.0,1.000000,0,525.1873,45.00,480.1873
330.0,1.000000,0,525.1878,45.00,480.1878
340.0,1.000000,0,525.1882,45.00,480.1882
350.0,1.000000,0,525.1887,45.00,480.1887
360.0,1.000000,0,525.1892,45.00,480.1892
370.0,1.000000,0,525.1897,45.00,480.1897
380.0,1.000000,0,525.1902,45.00,480.1902
390.0,1.000000,0,525.1907,45.00,480.1907
400.0,1.000000,0,525.1912,45.00,480.1912
410.0,1.000000,0,525.1916,45.00,480.1916
420.0,1.000000,0,525.1921,45.00,480.1921
430.0,1.000000,0,525.1926,45.00,480.1926
440.0,1.000000,0,525.1931,45.00,480.1931
450.0,1.000000,0,525.1936,45.00,480.1936
460.0,1.000000,0,525.1941,45.00,480.1941
470.0,1.000000,0,525.1945,45.00,480.1945
480.0,1.000000,0,525.1950,45.00,480.1950
490.0,1.000000,0,525.1955,45.00,480.1955
500.0,1.000000,0,525.1960,45.00,480.1960
510.0,1.000000,0,525.1965,45.00,480.1965
520.0,1.000000,0,525.1970,45.00,480.1970
530.0,1.000000,0,525.1974,45.00,480.1974
540.0,1.000000,0,525.1979,45.00,480.1979
550.0,1.000000,0,525.1984,45.00,480.1984
560.0,1.000000,0,525.1989,45.00,480.1989
570.0,0.433939,1,227.9046,45.00,182.9046
580.0,0.000000,1,0.0000,45.00,-45.0000
590.0,0.000000,1,0.0000,45.00,-45.0000
600.0,0.000000,1,0.0000,45.00,-45.0000
610.0,0.000000,1,0.0000,45.00,-45.0000
620.0,0.000000,1,0.0000,45.00,-45.0000
630.0,0.000000,1,0.0000,45.00,-45.0000
640.0,0.000000,1,0.0000,45.00,-45.0000
650.0,0.000000,1,0.0000,45.00,-45.0000
660.0,0.000000,1,0.0000,45.00,-45.0000
670.0,0.000000,1,0.0000,45.00,-45.0000
680.0,0.000000,1,0.0000,45.00,-45.0000
690.0,0.000000,1,0.0000,45.00,-45.0000
700.0,0.000000,1,0.0000,45.00,-45.0000
710.0,0.000000,1,0.0000,45.00,-45.0000
720.0,0.000000,1,0.0000,45.00,-45.0000
730.0,0.000000,1,0.0000,45.00,-45.0000
740.0,0.000000,1,0.0000,45.00,-45.0000
750.0,0.000000,1,0.0000,45.00,-45.0000
760.0,0.000000,1,0.0000,45.00,-45.0000
770.0,0.000000,1,0.0000,45.00,-45.0000
780.0,0.000000,1,0.0000,45.00,-45.0000
790.0,0.000000,1,0.0000,45.00,-45.0000
800.0,0.000000,1,0.0000,45.00,-45.0000
810.0,0.000000,1,0.0000,45.00,-45.0000
820.0,0.000000,1,0.0000,45.00,-45.0000
830.0,0.000000,1,0.0000,45.00,-45.0000
840.0,0.000000,1,0.0000,45.00,-45.0000
850.0,0.000000,1,0.0000,45.00,-45.0000
860.0,0.000000,1,0.0000,45.00,-45.0000
870.0,0.000000,1,0.0000,45.00,-45.0000
880.0,0.000000,1,0.0000,45.00,-45.0000
890.0,0.000000,1,0.0000,45.00,-45.0000
900.0,0.000000,1,0.0000,45.00,-45.0000
910.0,0.000000,1,0.0000,45.00,-45.0000
920.0,0.000000,1,0.0000,45.00,-45.0000
930.0,0.000000,1,0.0000,45.00,-45.0000
940.0,0.000000,1,0.0000,45.00,-45.0000
950.0,0.000000,1,0.0000,45.00,-45.0000
960.0,0.000000,1,0.0000,45.00,-45.0000
970.0,0.000000,1,0.0000,45.00,-45.0000
980.0,0.000000,1,0.0000,45.00,-45.0000
990.0,0.000000,1,0.0000,45.00,-45.0000
1000.0,0.000000,1,0.0000,45.00,-45.0000
1010.0,0.000000,1,0.0000,45.00,-45.0000
1020.0,0.000000,1,0.0000,45.00,-45.0000
1030.0,0.000000,1,0.0000,45.00,-45.0000
1040.0,0.000000,1,0.0000,45.00,-45.0000
1050.0,0.000000,1,0.0000,45.00,-45.0000
1060.0,0.000000,1,0.0000,45.00,-45.0000
1070.0,0.000000,1,0.0000,45.00,-45.0000
1080.0,0.000000,1,0.0000,45.00,-45.0000
1090.0,0.000000,1,0.0000,45.00,-45.0000
1100.0,0.000000,1,0.0000,45.00,-45.0000
1110.0,0.000000,1,0.0000,45.00,-45.0000
1120.0,0.000000,1,0.0000,45.00,-45.0000
1130.0,0.000000,1,0.0000,45.00,-45.0000
1140.0,0.000000,1,0.0000,45.00,-45.0000
1150.0,0.000000,1,0.0000,45.00,-45.0000
1160.0,0.000000,1,0.0000,45.00,-45.0000
1170.0,0.000000,1,0.0000,45.00,-45.0000
1180.0,0.000000,1,0.0000,45.00,-45.0000
1190.0,0.000000,1,0.0000,45.00,-45.0000
1200.0,0.000000,1,0.0000,45.00,-45.0000
1210.0,0.000000,1,0.0000,45.00,-45.0000
1220.0,0.000000,1,0.0000,45.00,-45.0000
1230.0,0.000000,1,0.0000,45.00,-45.0000
1240.0,0.000000,1,0.0000,45.00,-45.0000
1250.0,0.000000,1,0.0000,45.00,-45.0000
1260.0,0.000000,1,0.0000,45.00,-45.0000
1270.0,0.000000,1,0.0000,45.00,-45.0000
1280.0,0.000000,1,0.0000,45.00,-45.0000
1290.0,0.000000,1,0.0000,45.00,-45.0000
1300.0,0.000000,1,0.0000,45.00,-45.0000
1310.0,0.000000,1,0.0000,45.00,-45.0000
1320.0,0.000000,1,0.0000,45.00,-45.0000
1330.0,0.000000,1,0.0000,45.00,-45.0000
1340.0,0.000000,1,0.0000,45.00,-45.0000
1350.0,0.000000,1,0.0000,45.00,-45.0000
1360.0,0.000000,1,0.0000,45.00,-45.0000
1370.0,0.000000,1,0.0000,45.00,-45.0000
1380.0,0.000000,1,0.0000,45.00,-45.0000
1390.0,0.000000,1,0.0000,45.00,-45.0000
1400.0,0.000000,1,0.0000,45.00,-45.0000
1410.0,0.000000,1,0.0000,45.00,-45.0000
1420.0,0.000000,1,0.0000,45.00,-45.0000
1430.0,0.000000,1,0.0000,45.00,-45.0000
1440.0,0.000000,1,0.0000,45.00,-45.0000
1450.0,0.000000,1,0.0000,45.00,-45.0000
1460.0,0.000000,1,0.0000,45.00,-45.0000
1470.0,0.000000,1,0.0000,45.00,-45.0000
1480.0,0.000000,1,0.0000,45.00,-45.0000
1490.0,0.000000,1,0.0000,45.00,-45.0000
1500.0,0.000000,1,0.0000,45.00,-45.0000
1510.0,0.000000,1,0.0000,45.00,-45.0000
1520.0,0.000000,1,0.0000,45.00,-45.0000
1530.0,0.000000,1,0.0000,45.00,-45.0000
1540.0,0.000000,1,0.0000,45.00,-45.0000
1550.0,0.000000,1,0.0000,45.00,-45.0000
1560.0,0.000000,1,0.0000,45.00,-45.0000
1570.0,0.000000,1,0.0000,45.00,-45.0000
1580.0,0.000000,1,0.0000,45.00,-45.0000
1590.0,0.000000,1,0.0000,45.00,-45.0000
1600.0,0.000000,1,0.0000,45.00,-45.0000
1610.0,0.000000,1,0.0000,45.00,-45.0000
