t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
0.0,1.000000,0,571.5203,45.00,526.5203
10.0,1.000000,0,571.5202,45.00,526.5202
20.0,1.000000,0,571.5202,45.00,526.5202
30.0,1.000000,0,571.5201,45.00,526.5201
40.0,1.000000,0,571.5201,45.00,526.5201
50.0,1.000000,0,571.5200,45.00,526.5200
60.0,1.000000,0,571.5200,45.00,526.5200
70.0,1.000000,0,571.5199,45.00,526.5199
80.0,1.000000,0,571.5199,45.00,526.5199
90.0,1.000000,0,571.5198,45.00,526.5198
100.0,1.000000,0,571.5198,45.00,526.5198
110.0,1.000000,0,571.5198,45.00,526.5198
120.0,1.000000,0,571.5197,45.00,526.5197
130.0,1.000000,0,571.5197,45.00,526.5197
140.0,1.000000,0,571.5196,45.00,526.5196
150.0,1.000000,0,571.5196,45.00,526.5196
160.0,1.000000,0,571.5195,45.00,526.5195
170.0,1.000000,0,571.5195,45.00,526.5195
180.0,1.000000,0,571.5194,45.00,526.5194
190.0,1.000000,0,571.5194,45.00,526.5194
200.0,1.000000,0,571.5193,45.00,526.5193
210.0,1.000000,0,571.5193,45.00,526.5193
220.0,1.000000,0,571.5193,45.00,526.5193
230.0,1.000000,0,571.5192,45.00,526.5192
240.0,1.000000,0,571.5192,45.00,526.5192
250.0,1.000000,0,571.5191,45.00,526.5191
260.0,1.000000,0,571.5191,45.00,526.5191
270.0,1.000000,0,571.5190,45.00,526.5190
280.0,1.000000,0,571.5190,45.00,526.5190
290.0,1.000000,0,571.5189,45.00,526.5189
300.0,1.000000,0,571.5189,45.00,526.5189
310.0,1.000000,0,571.5188,45.00,526.5188
320.0,1.000000,0,571.5188,45.00,526.5188
330.0,1.000000,0,571.5188,45.00,526.5188
340.0,1.000000,0,571.5187,45.00,526.5187
350.0,1.000000,0,571.5187,45.00,526.5187
360.0,1.000000,0,571.5186,45.00,526.5186
370.0,1.000000,0,571.5186,45.00,526.5186
380.0,1.000000,0,571.5185,45.00,526.5185
390.0,1.000000,0,571.5185,45.00,526.5185
400.0,1.000000,0,571.5184,45.00,526.5184
410.0,1.000000,0,571.5184,45.00,526.5184
420.0,1.000000,0,571.5183,45.00,526.5183
430.0,1.000000,0,571.5183,45.00,526.5183
440.0,1.000000,0,571.5183,45.00,526.5183
450.0,1.000000,0,571.5182,45.00,526.5182
460.0,1.000000,0,571.5182,45.00,526.5182
470.0,1.000000,0,571.5181,45.00,526.5181
480.0,1.000000,0,571.5181,45.00,526.5181
490.0,1.000000,0,571.5180,45.00,526.5180
500.0,1.000000,0,571.5180,45.00,526.5180
510.0,1.000000,0,571.5179,45.00,526.5179
520.0,1.000000,0,571.5179,45.00,526.5179
530.0,1.000000,0,571.5178,45.00,526.5178
540.0,1.000000,0,571.5178,45.00,526.5178
550.0,1.000000,0,571.5178,45.00,526.5178
560.0,1.000000,0,571.5177,45.00,526.5177
570.0,1.000000,0,571.5177,45.00,526.5177
580.0,1.000000,0,571.5176,45.00,526.5176
590.0,1.000000,0,571.5176,45.00,526.5176
600.0,1.000000,0,571.5175,45.00,526.5175
610.0,1.000000,0,571.5175,45.00,526.5175
620.0,1.000000,0,571.5174,45.00,526.5174
630.0,1.000000,0,571.5174,45.00,526.5174
640.0,1.000000,0,571.5174,45.00,526.5174
650.0,1.000000,0,571.5173,45.00,526.5173
660.0,1.000000,0,571.5173,45.00,526.5173
670.0,1.000000,0,571.5172,45.00,526.5172
680.0,1.000000,0,571.5172,45.00,526.5172
690.0,1.000000,0,571.5171,45.00,526.5171
700.0,1.000000,0,571.5171,45.00,526.5171
710.0,1.000000,0,571.5170,45.00,526.5170
720.0,1.000000,0,571.5170,45.00,526.5170
730.0,1.000000,0,571.5169,45.00,526.5169
740.0,1.000000,0,571.5169,45.00,526.5169
