t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
0.0,1.000000,0,600.8047,45.00,555.8047
10.0,1.000000,0,600.7538,45.00,555.7538
20.0,1.000000,0,600.6843,45.00,555.6843
30.0,1.000000,0,600.5961,45.00,555.5961
40.0,1.000000,0,600.4893,45.00,555.4893
50.0,1.000000,0,600.3641,45.00,555.3641
60.0,1.000000,0,600.2203,45.00,555.2203
70.0,1.000000,0,600.0581,45.00,555.0581
80.0,1.000000,0,599.8775,45.00,554.8775
90.0,1.000000,0,599.6786,45.00,554.6786
100.0,1.000000,0,599.4615,45.00,554.4615
110.0,1.000000,0,599.2262,45.00,554.2262
120.0,1.000000,0,598.9729,45.00,553.9729
130.0,1.000000,0,598.7016,45.00,553.7016
140.0,1.000000,0,598.4125,45.00,553.4125
150.0,1.000000,0,598.1057,45.00,553.1057
160.0,1.000000,0,597.7812,45.00,552.7812
170.0,1.000000,0,597.4393,45.00,552.4393
180.0,1.000000,0,597.0800,45.00,552.0800
190.0,1.000000,0,596.7034,45.00,551.7034
200.0,1.000000,0,596.3099,45.00,551.3099
210.0,1.000000,0,595.8994,45.00,550.8994
220.0,1.000000,0,595.4721,45.00,550.4721
230.0,1.000000,0,595.0283,45.00,550.0283
240.0,1.000000,0,594.5681,45.00,549.5681
250.0,1.000000,0,594.0916,45.00,549.0916
260.0,1.000000,0,593.5991,45.00,548.5991
270.0,1.000000,0,593.0908,45.00,548.0908
280.0,1.000000,0,592.5668,45.00,547.5668
290.0,1.000000,0,592.0275,45.00,547.0275
300.0,1.000000,0,591.4729,45.00,546.4729
310.0,1.000000,0,590.9033,45.00,545.9033
320.0,1.000000,0,590.3189,45.00,545.3189
330.0,1.000000,0,589.7201,45.00,544.7201
340.0,1.000000,0,589.1069,45.00,544.1069
350.0,1.000000,0,588.4797,45.00,543.4797
360.0,1.000000,0,587.8388,45.00,542.8388
370.0,1.000000,0,587.1843,45.00,542.1843
380.0,1.000000,0,586.5166,45.00,541.5166
390.0,1.000000,0,585.8359,45.00,540.8359
400.0,1.000000,0,585.1426,45.00,540.1426
410.0,1.000000,0,584.4368,45.00,539.4368
420.0,1.000000,0,583.7189,45.00,538.7189
430.0,1.000000,0,582.9892,45.00,537.9892
440.0,1.000000,0,582.2480,45.00,537.2480
450.0,1.000000,0,581.4957,45.00,536.4957
460.0,1.000000,0,580.7324,45.00,535.7324
470.0,1.000000,0,579.9586,45.00,534.9586
480.0,1.000000,0,579.1746,45.00,534.1746
490.0,1.000000,0,578.3806,45.00,533.3806
500.0,1.000000,0,577.5771,45.00,532.5771
510.0,1.000000,0,576.7645,45.00,531.7645
520.0,1.000000,0,575.9429,45.00,530.9429
530.0,1.000000,0,575.1129,45.00,530.1129
540.0,1.000000,0,574.2747,45.00,529.2747
550.0,1.000000,0,573.4288,45.00,528.4288
560.0,1.000000,0,572.5754,45.00,527.5754
570.0,1.000000,0,571.7150,45.00,526.7150
580.0,1.000000,0,570.8480,45.00,525.8480
590.0,1.000000,0,569.9747,45.00,524.9747
600.0,1.000000,0,569.0956,45.00,524.0956
610.0,1.000000,0,568.2109,45.00,523.2109
620.0,1.000000,0,567.3212,45.00,522.3212
630.0,1.000000,0,566.4269,45.00,521.4269
640.0,1.000000,0,565.5282,45.00,520.5282
650.0,1.000000,0,564.6257,45.00,519.6257
660.0,1.000000,0,563.7198,45.00,518.7198
670.0,1.000000,0,562.8108,45.00,517.8108
680.0,0.986931,1,554.5560,45.00,509.5560
690.0,0.512215,1,287.3450,45.00,242.3450
700.0,0.025761,1,14.4281,45.00,-30.5719
710.0,0.000000,1,0.0000,45.00,-45.0000
720.0,0.000000,1,0.0000,45.00,-45.0000
730.0,0.000000,1,0.0000,45.00,-45.0000
740.0,0.000000,1,0.0000,45.00,-45.0000
750.0,0.000000,1,0.0000,45.00,-45.0000
760.0,0.000000,1,0.0000,45.00,-45.0000
770.0,0.000000,1,0.0000,45.00,-45.0000
780.0,0.000000,1,0.0000,45.00,-45.0000
790.0,0.000000,1,0.0000,45.00,-45.0000
800.0,0.000000,1,0.0000,45.00,-45.0000
810.0,0.000000,1,0.0000,45.00,-45.0000
820.0,0.000000,1,0.0000,45.00,-45.0000
830.0,0.000000,1,0.0000,45.00,-45.0000
840.0,0.000000,1,0.0000,45.00,-45.0000
850.0,0.000000,1,0.0000,45.00,-45.0000
860.0,0.000000,1,0.0000,45.00,-45.0000
870.0,0.000000,1,0.0000,45.00,-45.0000
880.0,0.000000,1,0.0000,45.00,-45.0000
890.0,0.000000,1,0.0000,45.00,-45.0000
900.0,0.000000,1,0.0000,45.00,-45.0000
910.0,0.000000,1,0.0000,45.00,-45.0000
920.0,0.000000,1,0.0000,45.00,-45.0000
930.0,0.000000,1,0.0000,45.00,-45.0000
940.0,0.000000,1,0.0000,45.00,-45.0000
950.0,0.000000,1,0.0000,45.00,-45.0000
960.0,0.000000,1,0.0000,45.00,-45.0000
970.0,0.000000,1,0.0000,45.00,-45.0000
980.0,0.000000,1,0.0000,45.00,-45.0000
990.0,0.000000,1,0.0000,45.00,-45.0000
1000.0,0.000000,1,0.0000,45.00,-45.0000
1010.0,0.000000,1,0.0000,45.00,-45.0000
1020.0,0.000000,1,0.0000,45.00,-45.0000
1030.0,0.000000,1,0.0000,45.00,-45.0000
1040.0,0.000000,1,0.0000,45.00,-45.0000
1050.0,0.000000,1,0.0000,45.00,-45.0000
1060.0,0.000000,1,0.0000,45.00,-45.0000
1070.0,0.000000,1,0.0000,45.00,-45.0000
1080.0,0.000000,1,0.0000,45.00,-45.0000
1090.0,0.000000,1,0.0000,45.00,-45.0000
1100.0,0.000000,1,0.0000,45.00,-45.0000
1110.0,0.000000,1,0.0000,45.00,-45.0000
1120.0,0.000000,1,0.0000,45.00,-45.0000
1130.0,0.000000,1,0.0000,45.00,-45.0000
1140.0,0.000000,1,0.0000,45.00,-45.0000
1150.0,0.000000,1,0.0000,45.00,-45.0000
1160.0,0.000000,1,0.0000,45.00,-45.0000
1170.0,0.000000,1,0.0000,45.00,-45.0000
1180.0,0.000000,1,0.0000,45.00,-45.0000
1190.0,0.000000,1,0.0000,45.00,-45.0000
1200.0,0.000000,1,0.0000,45.00,-45.0000
1210.0,0.000000,1,0.0000,45.00,-45.0000
1220.0,0.000000,1,0.0000,45.00,-45.0000
1230.0,0.000000,1,0.0000,45.00,-45.0000
1240.0,0.000000,1,0.0000,45.00,-45.0000
1250.0,0.000000,1,0.0000,45.00,-45.0000
1260.0,0.000000,1,0.0000,45.00,-45.0000
1270.0,0.000000,1,0.0000,45.00,-45.0000
1280.0,0.000000,1,0.0000,45.00,-45.0000
1290.0,0.000000,1,0.0000,45.00,-45.0000
1300.0,0.000000,1,0.0000,45.00,-45.0000
1310.0,0.000000,1,0.0000,45.00,-45.0000
1320.0,0.000000,1,0.0000,45.00,-45.0000
1330.0,0.000000,1,0.0000,45.00,-45.0000
1340.0,0.000000,1,0.0000,45.00,-45.0000
1350.0,0.000000,1,0.0000,45.00,-45.0000
1360.0,0.000000,1,0.0000,45.00,-45.0000
1370.0,0.000000,1,0.0000,45.00,-45.0000
1380.0,0.000000,1,0.0000,45.00,-45.0000
1390.0,0.000000,1,0.0000,45.00,-45.0000
1400.0,0.000000,1,0.0000,45.00,-45.0000
1410.0,0.000000,1,0.0000,45.00,-45.0000
1420.0,0.000000,1,0.0000,45.00,-45.0000
1430.0,0.000000,1,0.0000,45.00,-45.0000
1440.0,0.000000,1,0.0000,45.00,-45.0000
1450.0,0.000000,1,0.0000,45.00,-45.0000
1460.0,0.000000,1,0.0000,45.00,-45.0000
1470.0,0.000000,1,0.0000,45.00,-45.0000
1480.0,0.000000,1,0.0000,45.00,-45.0000
1490.0,0.000000,1,0.0000,45.00,-45.0000
1500.0,0.000000,1,0.0000,45.00,-45.0000
1510.0,0.000000,1,0.0000,45.00,-45.0000
1520.0,0.000000,1,0.0000,45.00,-45.0000
1530.0,0.000000,1,0.0000,45.00,-45.0000
1540.0,0.000000,1,0.0000,45.00,-45.0000
1550.0,0.000000,1,0.0000,45.00,-45.0000
1560.0,0.000000,1,0.0000,45.00,-45.0000
1570.0,0.000000,1,0.0000,45.00,-45.0000
1580.0,0.000000,1,0.0000,45.00,-45.0000
1590.0,0.000000,1,0.0000,45.00,-45.0000
1600.0,0.000000,1,0.0000,45.00,-45.0000
1610.0,0.000000,1,0.0000,45.00,-45.0000
1620.0,0.000000,1,0.0000,45.00,-45.0000
1630.0,0.000000,1,0.0000,45.00,-45.0000
1640.0,0.000000,1,0.0000,45.00,-45.0000
1650.0,0.000000,1,0.0000,45.00,-45.0000
1660.0,0.000000,1,0.0000,45.00,-45.0000
1670.0,0.000000,1,0.0000,45.00,-45.0000
1680.0,0.000000,1,0.0000,45.00,-45.0000
1690.0,0.000000,1,0.0000,45.00,-45.0000
1700.0,0.000000,1,0.0000,45.00,-45.0000
1710.0,0.000000,1,0.0000,45.00,-45.0000
1720.0,0.000000,1,0.0000,45.00,-45.0000
1730.0,0.000000,1,0.0000,45.00,-45.0000
1740.0,0.000000,1,0.0000,45.00,-45.0000
1750.0,0.000000,1,0.0000,45.00,-45.0000
